sentence,entity1,entity2,relation
wendy often dwells in delhi,wendy,delhi,lives_in
screen is part of device today,screen,device,part_of
carol regularly serves at cisco now,carol,cisco,works_at
grace actively serves at netflix now,grace,netflix,works_at
tina daily uses the git effectively,tina,git,uses
circuit is part of pipeline today,circuit,pipeline,part_of
bob is married to zane happily,bob,zane,married_to
karen is married to tina happily,karen,tina,married_to
victor was born in prague,victor,prague,born_in
liam daily operates the kafka effectively,liam,kafka,uses
tina is parent of henry officially,tina,henry,parent_of
carol daily operates the tableau effectively,carol,tableau,uses
henry is parent of irene officially,henry,irene,parent_of
liam actively leads at intel daily,liam,intel,works_at
olivia regularly handles python effectively,olivia,python,uses
carol is married to frank,carol,frank,married_to
liam personally owns camera officially,liam,camera,owns
olivia personally owns boat officially,olivia,boat,owns
tina securely keeps the scooter today,tina,scooter,owns
yasmin securely keeps tablet currently,yasmin,tablet,owns
mia securely holds the house today,mia,house,owns
valve is part of cluster officially,valve,cluster,part_of
umar actively serves at accenture today,umar,accenture,works_at
xavier seriously learns at cambridge now,xavier,cambridge,studies_at
rachel is married to henry happily,rachel,henry,married_to
warehouse is located in boston today,warehouse,boston,located_in
gallery is located in lisbon today,gallery,lisbon,located_in
olivia legally owns the car currently,olivia,car,owns
sam regularly serves at oracle daily,sam,oracle,works_at
motor is part of robot today,motor,robot,part_of
sam daily handles the pytorch carefully,sam,pytorch,uses
terminal is located in dallas officially,terminal,dallas,located_in
alice securely holds boat today,alice,boat,owns
jack daily operates tensorflow today,jack,tensorflow,uses
irene is parent of bob officially,irene,bob,parent_of
library is located in sydney,library,sydney,located_in
wendy is married to henry legally,wendy,henry,married_to
studio is located in lisbon currently,studio,lisbon,located_in
emma diligently trains at epfl daily,emma,epfl,studies_at
motor is part of drone today,motor,drone,part_of
frank regularly handles spark carefully,frank,spark,uses
carol seriously learns at ethz today,carol,ethz,studies_at
grace was born in vienna,grace,vienna,born_in
paul actively works at siemens now,paul,siemens,works_at
frank currently resides in seoul today,frank,seoul,lives_in
zane currently dwells in oslo,zane,oslo,lives_in
umar currently dwells in berlin daily,umar,berlin,lives_in
panel is part of system currently,panel,system,part_of
sam was born in delhi,sam,delhi,born_in
office is located in sydney officially,office,sydney,located_in
mia personally owns the farm currently,mia,farm,owns
dave is married to umar legally,dave,umar,married_to
circuit is part of server,circuit,server,part_of
library is located in sydney officially,library,sydney,located_in
victor legally keeps house today,victor,house,owns
frank personally keeps watch officially,frank,watch,owns
bob regularly leads at sap now,bob,sap,works_at
emma daily operates tensorflow carefully,emma,tensorflow,uses
henry actively trains at epfl,henry,epfl,studies_at
umar is parent of liam legally,umar,liam,parent_of
wendy is married to victor,wendy,victor,married_to
motor is part of robot currently,motor,robot,part_of
yasmin actively studies at ethz,yasmin,ethz,studies_at
victor was born in miami officially,victor,miami,born_in
frank often lives in seoul today,frank,seoul,lives_in
henry is parent of rachel officially,henry,rachel,parent_of
yasmin personally owns the laptop currently,yasmin,laptop,owns
carol actively serves at netflix daily,carol,netflix,works_at
bob is parent of alice officially,bob,alice,parent_of
xavier is parent of wendy biologically,xavier,wendy,parent_of
tina is married to dave officially,tina,dave,married_to
rachel regularly works at netflix today,rachel,netflix,works_at
tina regularly leads at google,tina,google,works_at
rachel legally owns laptop today,rachel,laptop,owns
stadium is located in rome officially,stadium,rome,located_in
alice is married to xavier happily,alice,xavier,married_to
circuit is part of platform,circuit,platform,part_of
tina daily operates slack effectively,tina,slack,uses
henry personally owns the console currently,henry,console,owns
henry was born in vienna officially,henry,vienna,born_in
alice was born in berlin historically,alice,berlin,born_in
carol was born in denver officially,carol,denver,born_in
grace currently lives in prague today,grace,prague,lives_in
grace currently serves at microsoft daily,grace,microsoft,works_at
paul regularly operates the sql carefully,paul,sql,uses
paul personally keeps the scooter currently,paul,scooter,owns
gear is part of aircraft,gear,aircraft,part_of
battery is part of server today,battery,server,part_of
emma was born in boston recently,emma,boston,born_in
frank actively leads at amazon now,frank,amazon,works_at
umar diligently learns at harvard today,umar,harvard,studies_at
paul currently serves at airbnb today,paul,airbnb,works_at
rachel was born in lisbon historically,rachel,lisbon,born_in
emma is parent of victor legally,emma,victor,parent_of
carol currently resides in zurich now,carol,zurich,lives_in
frank routinely operates the sql effectively,frank,sql,uses
frank is parent of karen,frank,karen,parent_of
karen legally holds tablet today,karen,tablet,owns
mia diligently learns at brown daily,mia,brown,studies_at
grace actively learns at cornell daily,grace,cornell,studies_at
noah currently lives in miami now,noah,miami,lives_in
gallery is located in seoul officially,gallery,seoul,located_in
carol legally keeps the car today,carol,car,owns
engine is part of pipeline,engine,pipeline,part_of
studio is located in paris today,studio,paris,located_in
olivia currently works at adobe today,olivia,adobe,works_at
emma was born in dubai officially,emma,dubai,born_in
alice routinely operates the python today,alice,python,uses
airport is located in phoenix currently,airport,phoenix,located_in
zane often resides in delhi daily,zane,delhi,lives_in
factory is located in rome currently,factory,rome,located_in
frank is parent of tina officially,frank,tina,parent_of
panel is part of platform today,panel,platform,part_of
zane currently leads at samsung,zane,samsung,works_at
zane actively serves at microsoft today,zane,microsoft,works_at
emma regularly works at oracle now,emma,oracle,works_at
terminal is located in berlin officially,terminal,berlin,located_in
paul was born in boston officially,paul,boston,born_in
wendy regularly leads at sap now,wendy,sap,works_at
rachel is parent of bob,rachel,bob,parent_of
karen regularly works at sap now,karen,sap,works_at
grace currently works at airbnb,grace,airbnb,works_at
victor legally owns boat officially,victor,boat,owns
grace personally keeps laptop currently,grace,laptop,owns
xavier often dwells in rome daily,xavier,rome,lives_in
gallery is located in sydney currently,gallery,sydney,located_in
umar actively leads at zoom daily,umar,zoom,works_at
dave seriously studies at duke now,dave,duke,studies_at
mia is parent of grace officially,mia,grace,parent_of
umar currently lives in london daily,umar,london,lives_in
grace legally keeps the watch officially,grace,watch,owns
circuit is part of machine today,circuit,machine,part_of
motor is part of platform today,motor,platform,part_of
carol is parent of alice biologically,carol,alice,parent_of
zane actively studies at cornell,zane,cornell,studies_at
zane routinely uses spark carefully,zane,spark,uses
sensor is part of robot currently,sensor,robot,part_of
museum is located in zurich officially,museum,zurich,located_in
henry currently leads at tesla now,henry,tesla,works_at
jack is parent of paul legally,jack,paul,parent_of
henry is parent of carol,henry,carol,parent_of
jack legally holds the house currently,jack,house,owns
victor personally owns camera officially,victor,camera,owns
motor is part of pipeline today,motor,pipeline,part_of
mia is parent of karen biologically,mia,karen,parent_of
bob currently works at airbnb,bob,airbnb,works_at
karen usually dwells in dallas daily,karen,dallas,lives_in
xavier personally holds laptop currently,xavier,laptop,owns
paul is parent of xavier legally,paul,xavier,parent_of
jack currently lives in oslo,jack,oslo,lives_in
office is located in sydney currently,office,sydney,located_in
terminal is located in vienna,terminal,vienna,located_in
kernel is part of cluster currently,kernel,cluster,part_of
karen is married to umar legally,karen,umar,married_to
battery is part of system officially,battery,system,part_of
rachel is married to henry officially,rachel,henry,married_to
victor usually dwells in seoul,victor,seoul,lives_in
henry was born in paris,henry,paris,born_in
noah daily uses the linux today,noah,linux,uses
paul regularly leads at zoom daily,paul,zoom,works_at
frank legally keeps farm today,frank,farm,owns
bob currently resides in lisbon daily,bob,lisbon,lives_in
dave actively leads at adobe daily,dave,adobe,works_at
bob usually dwells in dubai daily,bob,dubai,lives_in
mia diligently learns at brown today,mia,brown,studies_at
terminal is located in zurich today,terminal,zurich,located_in
sam actively serves at airbnb now,sam,airbnb,works_at
mia regularly works at oracle daily,mia,oracle,works_at
jack was born in tokyo historically,jack,tokyo,born_in
emma is married to umar legally,emma,umar,married_to
xavier was born in london officially,xavier,london,born_in
henry personally owns boat currently,henry,boat,owns
module is part of aircraft officially,module,aircraft,part_of
kernel is part of robot officially,kernel,robot,part_of
emma regularly operates the spark carefully,emma,spark,uses
irene often dwells in sydney now,irene,sydney,lives_in
embassy is located in lisbon today,embassy,lisbon,located_in
port is located in oslo officially,port,oslo,located_in
alice is parent of zane legally,alice,zane,parent_of
emma diligently learns at princeton now,emma,princeton,studies_at
emma is married to grace officially,emma,grace,married_to
liam legally keeps laptop today,liam,laptop,owns
zane actively works at zoom,zane,zoom,works_at
xavier personally owns studio officially,xavier,studio,owns
olivia often resides in london today,olivia,london,lives_in
zane regularly works at adobe daily,zane,adobe,works_at
jack was born in madrid,jack,madrid,born_in
victor regularly operates tableau carefully,victor,tableau,uses
henry is parent of sam biologically,henry,sam,parent_of
irene is married to carol officially,irene,carol,married_to
grace is married to carol legally,grace,carol,married_to
alice is parent of karen,alice,karen,parent_of
wendy seriously learns at duke today,wendy,duke,studies_at
quinn currently serves at adobe,quinn,adobe,works_at
mia was born in berlin officially,mia,berlin,born_in
bob is married to xavier legally,bob,xavier,married_to
jack is parent of carol biologically,jack,carol,parent_of
paul daily uses docker effectively,paul,docker,uses
karen was born in madrid officially,karen,madrid,born_in
dave is married to jack happily,dave,jack,married_to
grace securely owns console today,grace,console,owns
library is located in dallas,library,dallas,located_in
battery is part of robot today,battery,robot,part_of
victor actively serves at intel daily,victor,intel,works_at
grace regularly serves at uber,grace,uber,works_at
karen was born in london officially,karen,london,born_in
olivia regularly handles the sql effectively,olivia,sql,uses
studio is located in boston currently,studio,boston,located_in
jack was born in oslo recently,jack,oslo,born_in
grace daily handles tableau effectively,grace,tableau,uses
zane was born in prague recently,zane,prague,born_in
victor seriously trains at harvard,victor,harvard,studies_at
sam was born in phoenix officially,sam,phoenix,born_in
dave securely owns the camera currently,dave,camera,owns
zane actively learns at ucla,zane,ucla,studies_at
henry legally keeps watch today,henry,watch,owns
port is located in dallas,port,dallas,located_in
jack was born in boston officially,jack,boston,born_in
airport is located in seoul,airport,seoul,located_in
alice is married to noah officially,alice,noah,married_to
grace actively trains at nus,grace,nus,studies_at
irene currently leads at uber,irene,uber,works_at
liam was born in denver,liam,denver,born_in
victor currently dwells in prague daily,victor,prague,lives_in
paul is married to emma legally,paul,emma,married_to
frank actively serves at airbnb today,frank,airbnb,works_at
carol regularly serves at accenture,carol,accenture,works_at
henry was born in london,henry,london,born_in
studio is located in vienna officially,studio,vienna,located_in
mia was born in seoul,mia,seoul,born_in
mia was born in denver,mia,denver,born_in
irene securely holds the car currently,irene,car,owns
grace usually resides in oslo daily,grace,oslo,lives_in
olivia is married to umar officially,olivia,umar,married_to
paul personally owns car currently,paul,car,owns
studio is located in london,studio,london,located_in
irene daily handles the spark today,irene,spark,uses
warehouse is located in prague officially,warehouse,prague,located_in
paul actively trains at ethz,paul,ethz,studies_at
kernel is part of network currently,kernel,network,part_of
karen was born in lisbon officially,karen,lisbon,born_in
dave usually dwells in denver,dave,denver,lives_in
rachel is parent of dave biologically,rachel,dave,parent_of
quinn often resides in dallas daily,quinn,dallas,lives_in
emma diligently learns at duke today,emma,duke,studies_at
alice legally holds phone officially,alice,phone,owns
mia regularly handles the tensorflow carefully,mia,tensorflow,uses
jack is parent of paul biologically,jack,paul,parent_of
campus is located in tokyo,campus,tokyo,located_in
office is located in tokyo currently,office,tokyo,located_in
quinn actively learns at duke,quinn,duke,studies_at
stadium is located in boston officially,stadium,boston,located_in
sam legally owns printer currently,sam,printer,owns
henry legally keeps the console officially,henry,console,owns
battery is part of vehicle officially,battery,vehicle,part_of
dave was born in paris historically,dave,paris,born_in
sam currently lives in tokyo today,sam,tokyo,lives_in
liam daily operates the figma effectively,liam,figma,uses
stadium is located in miami,stadium,miami,located_in
dave diligently trains at duke daily,dave,duke,studies_at
zane is married to grace happily,zane,grace,married_to
grace actively studies at ucsd daily,grace,ucsd,studies_at
dave routinely handles the python today,dave,python,uses
yasmin legally keeps the guitar currently,yasmin,guitar,owns
carol daily handles slack today,carol,slack,uses
screen is part of system currently,screen,system,part_of
sensor is part of system today,sensor,system,part_of
yasmin personally owns the studio currently,yasmin,studio,owns
rachel personally keeps studio today,rachel,studio,owns
carol seriously learns at nus daily,carol,nus,studies_at
victor personally keeps the tablet currently,victor,tablet,owns
olivia actively trains at epfl,olivia,epfl,studies_at
alice actively trains at ucla today,alice,ucla,studies_at
mia actively serves at zoom daily,mia,zoom,works_at
sam is parent of emma biologically,sam,emma,parent_of
grace diligently learns at nus today,grace,nus,studies_at
jack is married to olivia legally,jack,olivia,married_to
frank diligently trains at ethz today,frank,ethz,studies_at
tina routinely uses spark effectively,tina,spark,uses
noah daily uses docker carefully,noah,docker,uses
karen is married to tina,karen,tina,married_to
karen is parent of liam,karen,liam,parent_of
irene securely keeps printer officially,irene,printer,owns
tina currently resides in prague daily,tina,prague,lives_in
noah routinely uses the tableau today,noah,tableau,uses
bob legally keeps the guitar today,bob,guitar,owns
xavier is married to tina legally,xavier,tina,married_to
umar regularly leads at uber now,umar,uber,works_at
jack daily handles figma effectively,jack,figma,uses
carol securely owns the car today,carol,car,owns
rachel is married to emma,rachel,emma,married_to
sam is married to frank,sam,frank,married_to
frank is parent of umar biologically,frank,umar,parent_of
bob is parent of grace officially,bob,grace,parent_of
alice routinely uses notion effectively,alice,notion,uses
grace personally owns the guitar currently,grace,guitar,owns
stadium is located in zurich today,stadium,zurich,located_in
sam is parent of liam biologically,sam,liam,parent_of
paul is parent of umar,paul,umar,parent_of
valve is part of robot officially,valve,robot,part_of
paul usually resides in delhi today,paul,delhi,lives_in
emma usually dwells in denver today,emma,denver,lives_in
henry usually resides in denver today,henry,denver,lives_in
mia often dwells in miami daily,mia,miami,lives_in
dave is married to paul,dave,paul,married_to
factory is located in lisbon currently,factory,lisbon,located_in
wendy usually dwells in zurich,wendy,zurich,lives_in
karen legally owns the phone officially,karen,phone,owns
grace regularly handles the python effectively,grace,python,uses
grace daily operates git effectively,grace,git,uses
sam daily handles spark effectively,sam,spark,uses
yasmin is parent of alice biologically,yasmin,alice,parent_of
paul usually resides in dubai now,paul,dubai,lives_in
rachel is married to frank,rachel,frank,married_to
emma currently works at amazon now,emma,amazon,works_at
dave often resides in dubai,dave,dubai,lives_in
quinn is parent of dave biologically,quinn,dave,parent_of
port is located in boston,port,boston,located_in
gear is part of pipeline today,gear,pipeline,part_of
wendy actively learns at mit daily,wendy,mit,studies_at
quinn was born in london historically,quinn,london,born_in
liam currently resides in lisbon,liam,lisbon,lives_in
filter is part of aircraft,filter,aircraft,part_of
factory is located in zurich,factory,zurich,located_in
carol is married to yasmin,carol,yasmin,married_to
carol is parent of yasmin legally,carol,yasmin,parent_of
olivia regularly handles kafka carefully,olivia,kafka,uses
terminal is located in vienna officially,terminal,vienna,located_in
mia diligently studies at cambridge today,mia,cambridge,studies_at
paul is parent of liam officially,paul,liam,parent_of
zane regularly leads at amazon daily,zane,amazon,works_at
xavier routinely handles the docker effectively,xavier,docker,uses
liam is parent of noah biologically,liam,noah,parent_of
quinn actively learns at duke today,quinn,duke,studies_at
studio is located in berlin currently,studio,berlin,located_in
paul is married to wendy officially,paul,wendy,married_to
noah regularly operates the tensorflow carefully,noah,tensorflow,uses
umar routinely operates linux today,umar,linux,uses
rachel is parent of grace,rachel,grace,parent_of
zane is parent of karen legally,zane,karen,parent_of
rachel currently serves at airbnb now,rachel,airbnb,works_at
engine is part of platform currently,engine,platform,part_of
liam seriously learns at cornell now,liam,cornell,studies_at
panel is part of cluster,panel,cluster,part_of
xavier is parent of alice,xavier,alice,parent_of
factory is located in vienna,factory,vienna,located_in
library is located in tokyo today,library,tokyo,located_in
stadium is located in lisbon officially,stadium,lisbon,located_in
gear is part of device,gear,device,part_of
rachel actively trains at cornell today,rachel,cornell,studies_at
liam seriously trains at stanford,liam,stanford,studies_at
quinn regularly works at adobe today,quinn,adobe,works_at
router is part of server currently,router,server,part_of
karen is married to bob happily,karen,bob,married_to
xavier is married to zane legally,xavier,zane,married_to
irene was born in madrid historically,irene,madrid,born_in
tina is married to sam legally,tina,sam,married_to
quinn seriously studies at epfl today,quinn,epfl,studies_at
jack legally holds boat today,jack,boat,owns
grace actively serves at google,grace,google,works_at
wendy is married to emma legally,wendy,emma,married_to
quinn is parent of umar legally,quinn,umar,parent_of
yasmin personally owns console officially,yasmin,console,owns
bob currently dwells in madrid,bob,madrid,lives_in
paul routinely handles figma today,paul,figma,uses
irene was born in rome,irene,rome,born_in
karen routinely operates sql today,karen,sql,uses
noah was born in vienna,noah,vienna,born_in
karen actively learns at princeton daily,karen,princeton,studies_at
xavier is married to mia legally,xavier,mia,married_to
office is located in dallas officially,office,dallas,located_in
sensor is part of platform currently,sensor,platform,part_of
grace often dwells in phoenix,grace,phoenix,lives_in
olivia is parent of mia,olivia,mia,parent_of
dave is parent of victor,dave,victor,parent_of
henry is parent of karen officially,henry,karen,parent_of
irene actively leads at microsoft,irene,microsoft,works_at
quinn legally holds the phone currently,quinn,phone,owns
irene currently works at airbnb today,irene,airbnb,works_at
karen personally keeps printer currently,karen,printer,owns
alice personally owns the bicycle currently,alice,bicycle,owns
rachel regularly handles the jira carefully,rachel,jira,uses
olivia usually lives in lisbon today,olivia,lisbon,lives_in
liam personally holds the laptop currently,liam,laptop,owns
sam is parent of olivia,sam,olivia,parent_of
alice was born in phoenix historically,alice,phoenix,born_in
umar currently lives in boston,umar,boston,lives_in
yasmin actively serves at airbnb daily,yasmin,airbnb,works_at
sam regularly uses pytorch effectively,sam,pytorch,uses
karen regularly leads at samsung daily,karen,samsung,works_at
campus is located in vienna officially,campus,vienna,located_in
alice regularly leads at google daily,alice,google,works_at
noah regularly serves at zoom daily,noah,zoom,works_at
alice is married to karen,alice,karen,married_to
tina securely holds farm officially,tina,farm,owns
olivia routinely uses figma effectively,olivia,figma,uses
filter is part of platform,filter,platform,part_of
alice is parent of yasmin biologically,alice,yasmin,parent_of
wendy seriously trains at brown,wendy,brown,studies_at
rachel was born in boston officially,rachel,boston,born_in
switch is part of network today,switch,network,part_of
campus is located in paris officially,campus,paris,located_in
quinn currently dwells in rome today,quinn,rome,lives_in
grace is parent of bob biologically,grace,bob,parent_of
noah routinely operates the pytorch today,noah,pytorch,uses
olivia daily uses sql effectively,olivia,sql,uses
frank was born in berlin recently,frank,berlin,born_in
carol currently works at google now,carol,google,works_at
frank currently serves at airbnb now,frank,airbnb,works_at
sam seriously learns at duke daily,sam,duke,studies_at
irene daily uses the python effectively,irene,python,uses
kernel is part of vehicle today,kernel,vehicle,part_of
tina is parent of henry legally,tina,henry,parent_of
emma usually resides in delhi today,emma,delhi,lives_in
yasmin often resides in madrid today,yasmin,madrid,lives_in
umar is parent of victor legally,umar,victor,parent_of
paul currently lives in delhi now,paul,delhi,lives_in
victor was born in vienna,victor,vienna,born_in
terminal is located in prague officially,terminal,prague,located_in
liam currently resides in seoul today,liam,seoul,lives_in
emma usually dwells in berlin,emma,berlin,lives_in
liam routinely handles docker effectively,liam,docker,uses
museum is located in tokyo currently,museum,tokyo,located_in
bob currently lives in delhi today,bob,delhi,lives_in
wendy legally owns the boat currently,wendy,boat,owns
victor is married to carol happily,victor,carol,married_to
sensor is part of network currently,sensor,network,part_of
dave usually resides in miami today,dave,miami,lives_in
jack was born in rome historically,jack,rome,born_in
campus is located in prague today,campus,prague,located_in
quinn often resides in madrid,quinn,madrid,lives_in
emma was born in madrid recently,emma,madrid,born_in
dave is parent of xavier,dave,xavier,parent_of
frank was born in london historically,frank,london,born_in
noah is parent of rachel,noah,rachel,parent_of
factory is located in miami,factory,miami,located_in
karen is parent of zane biologically,karen,zane,parent_of
karen was born in seoul historically,karen,seoul,born_in
liam regularly leads at samsung,liam,samsung,works_at
xavier is married to grace officially,xavier,grace,married_to
emma seriously learns at oxford,emma,oxford,studies_at
battery is part of cluster,battery,cluster,part_of
dave regularly leads at adobe today,dave,adobe,works_at
valve is part of pipeline currently,valve,pipeline,part_of
frank is married to henry officially,frank,henry,married_to
bob daily operates git carefully,bob,git,uses
bob usually lives in boston daily,bob,boston,lives_in
alice diligently studies at ucsd now,alice,ucsd,studies_at
port is located in delhi currently,port,delhi,located_in
irene was born in delhi officially,irene,delhi,born_in
paul actively studies at princeton now,paul,princeton,studies_at
liam is married to carol legally,liam,carol,married_to
karen routinely handles python today,karen,python,uses
gear is part of cluster officially,gear,cluster,part_of
library is located in dubai,library,dubai,located_in
quinn diligently trains at duke now,quinn,duke,studies_at
umar is parent of xavier officially,umar,xavier,parent_of
henry is parent of umar biologically,henry,umar,parent_of
router is part of aircraft,router,aircraft,part_of
warehouse is located in lisbon officially,warehouse,lisbon,located_in
dave was born in phoenix recently,dave,phoenix,born_in
quinn currently dwells in denver today,quinn,denver,lives_in
carol is married to victor,carol,victor,married_to
tina regularly works at paypal now,tina,paypal,works_at
alice is married to yasmin legally,alice,yasmin,married_to
tina diligently studies at ucla today,tina,ucla,studies_at
rachel personally holds the house officially,rachel,house,owns
umar securely keeps studio today,umar,studio,owns
grace securely keeps studio today,grace,studio,owns
henry is parent of noah biologically,henry,noah,parent_of
gear is part of device officially,gear,device,part_of
bob actively learns at nus now,bob,nus,studies_at
filter is part of server,filter,server,part_of
paul actively studies at harvard today,paul,harvard,studies_at
motor is part of vehicle today,motor,vehicle,part_of
noah currently works at airbnb,noah,airbnb,works_at
emma is parent of bob,emma,bob,parent_of
screen is part of robot officially,screen,robot,part_of
sam was born in seoul historically,sam,seoul,born_in
carol personally keeps the console officially,carol,console,owns
dave was born in sydney officially,dave,sydney,born_in
dave currently lives in vienna today,dave,vienna,lives_in
tina personally owns the phone currently,tina,phone,owns
bob regularly leads at zoom today,bob,zoom,works_at
sam legally keeps boat today,sam,boat,owns
module is part of vehicle currently,module,vehicle,part_of
zane legally holds the bicycle currently,zane,bicycle,owns
motor is part of cluster currently,motor,cluster,part_of
sensor is part of drone officially,sensor,drone,part_of
victor legally holds the laptop today,victor,laptop,owns
dave was born in dallas,dave,dallas,born_in
mia was born in miami officially,mia,miami,born_in
quinn is parent of dave officially,quinn,dave,parent_of
library is located in rome currently,library,rome,located_in
karen is married to irene happily,karen,irene,married_to
panel is part of device officially,panel,device,part_of
umar was born in vienna historically,umar,vienna,born_in
port is located in paris today,port,paris,located_in
port is located in dallas officially,port,dallas,located_in
paul is married to tina legally,paul,tina,married_to
mia is married to grace officially,mia,grace,married_to
paul actively leads at uber now,paul,uber,works_at
frank is parent of emma biologically,frank,emma,parent_of
jack is married to henry officially,jack,henry,married_to
umar is parent of bob biologically,umar,bob,parent_of
liam is parent of victor,liam,victor,parent_of
stadium is located in denver currently,stadium,denver,located_in
tina seriously studies at mit,tina,mit,studies_at
victor personally holds studio officially,victor,studio,owns
jack is parent of zane,jack,zane,parent_of
henry is parent of tina,henry,tina,parent_of
yasmin was born in phoenix,yasmin,phoenix,born_in
embassy is located in denver currently,embassy,denver,located_in
quinn is parent of frank,quinn,frank,parent_of
gear is part of drone today,gear,drone,part_of
library is located in vienna,library,vienna,located_in
sam is married to henry happily,sam,henry,married_to
quinn is parent of tina legally,quinn,tina,parent_of
carol was born in dallas officially,carol,dallas,born_in
switch is part of robot today,switch,robot,part_of
router is part of server today,router,server,part_of
module is part of platform,module,platform,part_of
quinn personally keeps watch officially,quinn,watch,owns
plugin is part of robot today,plugin,robot,part_of
bob currently lives in phoenix now,bob,phoenix,lives_in
bob currently lives in madrid today,bob,madrid,lives_in
irene is married to umar happily,irene,umar,married_to
emma is married to rachel officially,emma,rachel,married_to
irene routinely uses spark carefully,irene,spark,uses
plugin is part of system,plugin,system,part_of
zane personally owns the laptop officially,zane,laptop,owns
frank often dwells in rome,frank,rome,lives_in
noah was born in madrid,noah,madrid,born_in
paul securely keeps farm today,paul,farm,owns
karen was born in tokyo historically,karen,tokyo,born_in
yasmin legally holds the laptop officially,yasmin,laptop,owns
dave often lives in sydney today,dave,sydney,lives_in
grace usually lives in rome,grace,rome,lives_in
tina is married to rachel officially,tina,rachel,married_to
liam is married to victor,liam,victor,married_to
irene is parent of emma,irene,emma,parent_of
alice often lives in oslo now,alice,oslo,lives_in
olivia currently works at paypal now,olivia,paypal,works_at
zane is parent of quinn biologically,zane,quinn,parent_of
module is part of platform officially,module,platform,part_of
grace was born in prague recently,grace,prague,born_in
screen is part of drone currently,screen,drone,part_of
studio is located in delhi currently,studio,delhi,located_in
hospital is located in dubai,hospital,dubai,located_in
zane is parent of quinn,zane,quinn,parent_of
motor is part of platform officially,motor,platform,part_of
xavier actively studies at iisc daily,xavier,iisc,studies_at
henry is parent of paul,henry,paul,parent_of
yasmin legally keeps the camera officially,yasmin,camera,owns
rachel securely keeps scooter currently,rachel,scooter,owns
noah daily uses sql today,noah,sql,uses
umar actively trains at yale today,umar,yale,studies_at
emma often lives in dubai daily,emma,dubai,lives_in
mia daily operates the docker carefully,mia,docker,uses
tina is married to carol legally,tina,carol,married_to
engine is part of server officially,engine,server,part_of
tina currently lives in madrid,tina,madrid,lives_in
dave daily uses python carefully,dave,python,uses
umar routinely operates the figma today,umar,figma,uses
alice often resides in seoul,alice,seoul,lives_in
irene regularly uses figma carefully,irene,figma,uses
zane personally holds boat currently,zane,boat,owns
xavier is married to paul officially,xavier,paul,married_to
wendy usually resides in tokyo now,wendy,tokyo,lives_in
kernel is part of platform officially,kernel,platform,part_of
emma is parent of liam,emma,liam,parent_of
zane regularly uses spark effectively,zane,spark,uses
olivia routinely uses the git carefully,olivia,git,uses
zane is parent of mia officially,zane,mia,parent_of
xavier was born in lisbon recently,xavier,lisbon,born_in
grace securely holds the console today,grace,console,owns
karen is parent of dave officially,karen,dave,parent_of
xavier regularly serves at paypal today,xavier,paypal,works_at
factory is located in dallas,factory,dallas,located_in
engine is part of drone officially,engine,drone,part_of
campus is located in madrid today,campus,madrid,located_in
karen usually resides in phoenix now,karen,phoenix,lives_in
tina regularly leads at sap now,tina,sap,works_at
tina was born in phoenix,tina,phoenix,born_in
frank seriously studies at nus now,frank,nus,studies_at
henry daily uses slack today,henry,slack,uses
karen securely holds the guitar officially,karen,guitar,owns
hospital is located in dallas officially,hospital,dallas,located_in
museum is located in denver,museum,denver,located_in
zane actively leads at uber now,zane,uber,works_at
valve is part of server currently,valve,server,part_of
emma usually lives in tokyo,emma,tokyo,lives_in
yasmin is parent of dave,yasmin,dave,parent_of
circuit is part of platform currently,circuit,platform,part_of
mia seriously trains at yale,mia,yale,studies_at
jack often resides in seoul now,jack,seoul,lives_in
umar seriously learns at duke today,umar,duke,studies_at
olivia often resides in london now,olivia,london,lives_in
engine is part of machine,engine,machine,part_of
carol was born in sydney officially,carol,sydney,born_in
quinn was born in sydney officially,quinn,sydney,born_in
liam actively works at google daily,liam,google,works_at
dave currently leads at uber today,dave,uber,works_at
grace regularly leads at zoom today,grace,zoom,works_at
gear is part of device currently,gear,device,part_of
campus is located in london today,campus,london,located_in
wendy seriously trains at harvard daily,wendy,harvard,studies_at
switch is part of server officially,switch,server,part_of
dave often resides in dubai daily,dave,dubai,lives_in
emma daily operates the docker carefully,emma,docker,uses
victor seriously learns at cornell today,victor,cornell,studies_at
irene diligently trains at yale,irene,yale,studies_at
office is located in tokyo,office,tokyo,located_in
panel is part of platform officially,panel,platform,part_of
router is part of drone today,router,drone,part_of
jack is married to xavier,jack,xavier,married_to
embassy is located in boston currently,embassy,boston,located_in
umar diligently trains at mit,umar,mit,studies_at
liam legally owns car today,liam,car,owns
museum is located in paris today,museum,paris,located_in
filter is part of drone currently,filter,drone,part_of
frank actively serves at accenture now,frank,accenture,works_at
carol personally owns the laptop officially,carol,laptop,owns
quinn seriously studies at ethz,quinn,ethz,studies_at
victor regularly works at samsung daily,victor,samsung,works_at
paul was born in lisbon officially,paul,lisbon,born_in
wendy diligently learns at iisc daily,wendy,iisc,studies_at
switch is part of machine officially,switch,machine,part_of
noah legally keeps guitar today,noah,guitar,owns
sam is parent of dave,sam,dave,parent_of
yasmin was born in london,yasmin,london,born_in
noah is married to sam,noah,sam,married_to
port is located in london today,port,london,located_in
henry is parent of olivia biologically,henry,olivia,parent_of
carol is married to wendy legally,carol,wendy,married_to
